tip_id,DOB,GraduatedDate,InterviewedDate,StartDate,EndDate,DriversLicense,Course,CreatedDate
1,1992-08-26,,,2018-07-12,2018-08-01,No,Introduction to Masonry,2018-07-11
2,1997-01-27,,,2018-07-12,,No,Introduction to Masonry,2018-07-11
3,1999-05-04,,,2018-07-23,,,Introduction to Masonry,2018-07-11
4,1982-08-15,2013-10-16,,2013-08-12,2013-10-16,,Introduction to Masonry,2018-07-12
5,1988-04-10,2011-02-04,,2010-11-29,2011-02-04,,Introduction to Masonry,2018-07-12
6,1985-04-16,,,2013-07-24,2013-09-06,,Introduction to Masonry,2018-07-12
7,1990-01-26,,,2013-08-19,2013-08-27,,Introduction to Masonry,2018-07-12
8,1989-08-15,2012-04-12,,2012-02-13,2012-04-12,,Introduction to Masonry,2018-07-12
9,1980-01-20,,,2010-07-09,2010-08-16,,Introduction to Masonry,2018-07-12
10,1989-09-02,2018-01-02,,2018-01-01,2018-01-02,,Introduction to Masonry,2018-07-12
11,1972-01-11,2013-05-10,,2013-02-27,2013-05-10,,Introduction to Masonry,2018-07-12
12,1987-07-13,,,2009-01-12,2009-01-20,,Introduction to Masonry,2018-07-12
13,1978-04-28,,,2013-09-23,2013-10-16,,Introduction to Masonry,2018-07-12
14,1990-12-05,,,2013-02-13,2013-02-16,,Introduction to Masonry,2018-07-12
15,1981-02-13,,,2012-06-26,2012-07-11,,Introduction to Masonry,2018-07-12
16,1989-07-22,,,2014-04-10,2014-04-22,,Introduction to Masonry,2018-07-12
17,1971-08-26,,,2012-08-13,2012-09-17,,Introduction to Masonry,2018-07-12
18,1978-01-09,,,2014-03-24,2014-04-04,,Introduction to Masonry,2018-07-12
19,1993-12-28,,,2014-03-25,2014-04-21,No,Introduction to Masonry,2018-07-12
20,1980-06-12,,,2012-11-26,2012-11-26,,Introduction to Masonry,2018-07-12
21,1982-02-23,,,2013-09-18,2013-09-19,No,Introduction to Masonry,2018-07-12
22,1984-12-17,2012-09-07,,2012-08-27,2012-09-07,No,Introduction to Masonry,2018-07-12
23,1983-10-15,2013-07-12,,2013-05-06,2013-07-12,No,Introduction to Masonry,2018-07-12
24,1988-03-21,2014-03-07,,2013-12-23,2014-03-07,No,Introduction to Masonry,2018-07-12
25,1989-01-12,,,2009-01-12,2012-01-26,,Introduction to Masonry,2018-07-12
26,1987-10-28,,,2018-01-01,2019-01-01,,Introduction to Masonry,2018-07-12
27,1987-06-10,,,2014-06-23,2014-06-26,No,Introduction to Masonry,2018-07-12
28,1993-01-21,2013-07-12,,2013-04-29,2013-07-12,Yes,Introduction to Masonry,2018-07-12
29,1975-01-27,2011-01-21,,2010-11-12,2011-01-21,No,Introduction to Masonry,2018-07-12
30,1988-12-12,,,2014-06-09,2014-07-07,Yes,Introduction to Masonry,2018-07-12
31,1989-12-17,,,2010-08-16,2010-08-30,,Introduction to Masonry,2018-07-12
32,1978-04-02,,,2010-06-14,2010-06-28,,Introduction to Masonry,2018-07-12
33,1982-09-15,2014-05-23,,2014-03-10,2014-05-23,,Introduction to Masonry,2018-07-12
34,1985-08-01,2012-10-24,,2012-08-13,2012-10-24,,Introduction to Masonry,2018-07-12
35,1991-01-20,,,2014-02-25,2014-02-26,,Introduction to Masonry,2018-07-12
36,1979-10-08,2012-09-17,,2012-08-27,2012-09-17,Yes,Introduction to Masonry,2018-07-12
37,1973-10-19,2013-02-25,,2012-12-13,2013-02-25,,Introduction to Masonry,2018-07-12
38,1988-06-21,,,2014-01-13,2014-02-14,,Introduction to Masonry,2018-07-12
39,1978-09-07,,,2010-07-20,2010-08-04,,Introduction to Masonry,2018-07-12
40,1979-06-13,2010-11-05,,2010-08-02,2010-11-05,Yes,Introduction to Masonry,2018-07-12
41,1984-10-26,,,2010-08-09,2010-09-24,,Introduction to Masonry,2018-07-12
42,1989-04-21,2014-08-08,,2014-05-27,2014-08-08,No,Introduction to Masonry,2018-07-12
43,1988-10-24,2012-08-05,,2012-06-27,2012-08-05,No,Introduction to Masonry,2018-07-12
44,1979-05-21,2014-05-02,,2014-03-03,2014-05-02,Yes,Introduction to Masonry,2018-07-12
45,1983-08-04,,,2014-02-06,2014-02-06,,,2018-07-12
46,1984-05-21,,,2010-06-16,2010-07-08,No,Introduction to Masonry,2018-07-12
47,1990-12-03,,,2012-06-28,2012-07-06,,Introduction to Masonry,2018-07-12
48,1988-04-23,,,2014-02-25,2014-03-11,Yes,Introduction to Masonry,2018-07-12
49,1993-02-18,,,2014-04-30,2014-07-30,No,Introduction to Masonry,2018-07-12
50,1986-04-29,2014-07-18,,2014-05-07,2014-07-18,Yes,Introduction to Masonry,2018-07-12
51,1980-12-15,,,2013-11-19,2013-12-02,Yes,Introduction to Masonry,2018-07-12
52,1987-05-31,2012-04-12,,2012-02-13,2012-04-12,,Introduction to Masonry,2018-07-12
53,1983-03-11,2014-09-10,,2014-07-08,2014-09-10,No,Introduction to Masonry,2018-07-12
54,1981-05-03,2014-08-08,,2014-05-29,2014-08-08,No,Introduction to Masonry,2018-07-12
55,1978-07-28,,,2011-02-23,2011-03-03,No,Introduction to Masonry,2018-07-12
56,1986-10-05,,,2010-06-18,2010-08-06,Yes,Introduction to Masonry,2018-07-12
57,1987-02-02,2010-11-05,,2010-09-09,2010-11-05,No,Introduction to Masonry,2018-07-12
58,1993-11-03,2014-02-21,,2013-12-11,2014-02-21,No,Introduction to Masonry,2018-07-12
59,1989-04-01,,,2012-08-27,2012-09-07,No,Introduction to Masonry,2018-07-12
60,1984-03-01,,,2012-11-14,2012-11-17,No,Introduction to Masonry,2018-07-12
61,1968-02-16,2012-11-21,,2012-09-10,2012-11-21,No,Introduction to Masonry,2018-07-12
62,1977-02-02,2013-10-18,,2013-08-12,2013-10-18,No,Introduction to Masonry,2018-07-12
63,1973-12-11,,,2012-10-10,2012-11-14,Yes,Introduction to Masonry,2018-07-12
64,1977-08-26,2012-06-22,,2012-04-16,2012-06-22,No,Introduction to Masonry,2018-07-12
65,1989-02-16,2014-02-21,,2014-01-06,2014-02-21,No,Introduction to Masonry,2018-07-12
66,1990-03-07,,,2012-08-16,2012-09-06,No,Introduction to Masonry,2018-07-12
67,1977-09-08,2013-12-30,,2013-10-21,2013-12-30,No,Introduction to Masonry,2018-07-12
68,1985-10-31,,,2013-05-09,2013-06-12,No,Introduction to Masonry,2018-07-12
69,1975-09-25,,,2010-06-22,2010-08-12,Yes,Introduction to Masonry,2018-07-12
70,1986-10-16,,,2014-03-10,2014-04-10,No,Introduction to Masonry,2018-07-12
71,1982-11-23,2011-01-21,,2010-11-12,2011-01-21,Yes,Introduction to Masonry,2018-07-12
72,1981-09-27,2012-04-12,,2012-02-13,2012-04-12,Yes,Introduction to Masonry,2018-07-12
73,1990-09-22,,,2012-02-13,2012-02-16,,Introduction to Masonry,2018-07-12
74,1986-09-13,,,2014-05-08,2014-11-03,No,Introduction to Masonry,2018-07-12
75,1990-12-02,,,2010-06-17,2010-06-17,No,Introduction to Masonry,2018-07-12
76,1994-01-23,,,2012-06-28,2012-07-07,No,Introduction to Masonry,2018-07-12
77,1992-09-29,,,2013-07-24,2013-08-05,No,Introduction to Masonry,2018-07-12
78,1991-07-22,,,2014-05-12,2014-05-12,No,Introduction to Masonry,2018-07-12
79,1979-06-09,2013-06-13,,2013-05-09,2013-06-13,No,Introduction to Masonry,2018-07-12
80,1987-05-27,2011-04-12,,2011-01-31,2011-04-12,No,Introduction to Masonry,2018-07-12
81,1969-04-15,2014-07-11,,2014-06-19,2014-07-11,Yes,Introduction to Masonry,2018-07-12
82,1983-11-06,2014-09-08,,2014-07-16,2014-09-08,,Introduction to Masonry,2018-07-12
83,1991-08-29,2013-09-06,,2013-07-25,2013-09-06,Yes,Introduction to Masonry,2018-07-12
84,1980-03-20,,,2014-05-05,2014-05-05,No,Introduction to Masonry,2018-07-12
85,1985-10-01,2014-01-10,,2013-10-31,2014-01-10,No,Introduction to Masonry,2018-07-12
86,1980-12-02,,,2014-01-13,2014-03-18,No,Introduction to Masonry,2018-07-12
87,1978-12-16,2014-03-28,,2014-01-16,2014-03-28,Yes,Introduction to Masonry,2018-07-12
88,1981-01-28,2011-03-25,,2011-01-31,2011-03-25,Yes,Introduction to Masonry,2018-07-12
89,1985-08-21,2011-04-05,,2011-01-28,2011-04-05,No,Introduction to Masonry,2018-07-12
90,1987-07-27,,,2013-07-15,2013-07-22,No,Introduction to Masonry,2018-07-12
91,1978-06-05,,,2012-09-19,2012-10-30,No,Introduction to Masonry,2018-07-12
92,1986-05-29,,,2014-02-12,2014-02-14,No,Introduction to Masonry,2018-07-12
93,1993-12-14,,,2013-07-23,2013-08-05,No,Introduction to Masonry,2018-07-12
94,1973-03-30,2013-12-23,,2013-10-14,2013-12-23,No,Introduction to Masonry,2018-07-12
95,1985-08-17,2014-01-03,,2013-10-24,2014-01-03,No,Introduction to Masonry,2018-07-12
96,1967-08-10,,,2013-01-22,2013-01-28,No,Introduction to Masonry,2018-07-12
97,1984-11-09,,,2013-10-28,2013-11-05,Yes,Introduction to Masonry,2018-07-12
98,1984-05-22,,,2009-01-12,2009-01-26,,Introduction to Masonry,2018-07-12
99,1991-07-25,,,2012-06-27,2012-07-08,No,Introduction to Masonry,2018-07-12
100,1992-11-23,,,2014-02-27,2014-03-14,No,Introduction to Masonry,2018-07-12
101,1983-08-10,,,2013-09-18,2013-09-21,No,Introduction to Masonry,2018-07-12
102,1989-01-06,,,2012-11-13,2012-11-15,No,Introduction to Masonry,2018-07-12
103,1983-12-25,2013-02-15,,2012-11-26,2013-02-15,No,Introduction to Masonry,2018-07-12
104,1980-02-07,2013-07-12,,2013-05-06,2013-07-12,No,Introduction to Masonry,2018-07-12
105,1970-04-02,2012-11-21,,2012-09-12,2012-11-21,No,Introduction to Masonry,2018-07-12
106,1985-07-28,,,2013-04-22,2013-04-27,No,Introduction to Masonry,2018-07-12
107,1990-01-05,,,2012-10-25,2012-11-16,No,Introduction to Masonry,2018-07-12
108,1985-04-08,2012-06-22,,2012-04-16,2012-06-22,Yes,Introduction to Masonry,2018-07-12
109,1982-06-21,2013-09-06,,2013-07-18,2013-09-06,No,Introduction to Masonry,2018-07-12
110,1980-02-02,2014-06-13,,2014-04-14,2014-06-13,Yes,Introduction to Masonry,2018-07-12
111,1977-05-05,2014-05-30,,2014-04-30,2014-05-30,No,Introduction to Masonry,2018-07-12
112,1985-01-08,,,2010-09-09,2010-10-28,No,Introduction to Masonry,2018-07-12
113,1987-03-07,2013-03-04,,2012-12-14,2013-03-04,No,Introduction to Masonry,2018-07-12
