tip_id,Status,treatment,StartDate,year_TIP,year_end_TIP,cohort_2022,Age_at_start,age_band,race,gender,census_tract,any_sentence_before_start,num_sentences_before_start,max_ogs_before_start,any_high_ogs_before_start,any_arrest_before_start,num_arrests_before_start,earnings_1yr_preTIP,earnings_2yr_preTIP,job_right_before_tip,employment_outcome,earnings_outcome,offense_outcome,arrest_outcome,pscore,match_pair_id,match_role,matched_to_id,match_pscore_diff,pscore_diff
51,Non Graduated,0,2014-02-25,2014,2014.0,0,25.807245386192758,25-34,Black,Female,42003130700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.5783059442236578,1,control,274,0.02392371714736652,0.02392371714736652
274,Graduated,1,2015-05-18,2015,2016.0,0,27.956254272043747,25-34,Black,Female,42003270300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.6022296613710243,1,treated,51,0.02392371714736652,
1416,Non Graduated,0,2021-08-23,2021,2022.0,0,32.358168147641834,25-34,Black,Female,42003561900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,893.5013255820497,0.0,1,23295.06768875508,0,0,0.7292411661785815,2,control,1419,0.10753795816240141,0.10753795816240141
1419,Graduated,1,2021-08-23,2021,2021.0,0,25.126452494873547,25-34,Black,Female,42003140500,0.0,0.0,0.0,0.0,0.0,0.0,58523.69409432552,37280.077719847955,1.0,1,132552.46343306024,0,0,0.6217032080161801,2,treated,1416,0.10753795816240141,
1427,Non Graduated,0,2021-09-20,2021,2021.0,0,27.58988380041012,25-34,Black,Female,42003504100,0.0,0.0,0.0,0.0,0.0,0.0,11358.340565125134,7025.733818840234,1.0,1,24559.68301801766,0,0,0.7491154154420933,3,control,512,0.10057120431254951,0.10057120431254951
512,Graduated,1,2017-01-02,2017,2017.0,0,32.66712235133288,25-34,Black,Female,42003111400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11433.69001821508,0,0,0.6485442111295437,3,treated,1427,0.10057120431254951,
1190,Non Graduated,0,2020-05-26,2020,2020.0,0,25.58578263841422,25-34,Black,Female,42003523702,1.0,7.0,4.0,0.0,0.0,0.0,26138.417475240905,63302.123712414206,1.0,1,484.82978210301883,0,0,0.48337967512149776,4,control,1331,0.1730824841177641,0.1730824841177641
1331,Graduated,1,2021-03-22,2021,2021.0,0,29.774436090225564,25-34,Black,Female,42003478200,0.0,0.0,0.0,0.0,0.0,0.0,25467.21089072997,29640.240145555414,1.0,1,27379.052039778577,0,0,0.6564621592392619,4,treated,1190,0.1730824841177641,
41,Non Graduated,0,2010-07-20,2010,2010.0,0,31.82228298017772,25-34,Black,Female,42003110200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.4800252905839719,5,control,1032,0.19443030052920995,0.19443030052920995
1032,Graduated,1,2019-07-22,2019,2019.0,0,28.02187286397813,25-34,Black,Female,42003550900,0.0,0.0,0.0,0.0,0.0,0.0,4481.873186750661,15518.147546403448,1.0,0,0.0,0,0,0.6744555911131819,5,treated,41,0.19443030052920995,
499,Non Graduated,0,2016-11-28,2016,2017.0,0,38.813397129186605,35+,Black,Female,42003427100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.5743268177274337,6,control,198,0.008184572178535965,0.008184572178535965
198,Graduated,1,2014-08-14,2014,2014.0,0,35.05673274094327,35+,Black,Female,42003552200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.5661422455488977,6,treated,499,0.008184572178535965,
601,Non Graduated,0,2017-06-19,2017,2017.0,0,58.01777170198224,35+,Black,Female,42003551200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,28334.32220741199,0,0,0.5784041701086874,7,control,1368,0.008805549490558895,0.008805549490558895
