tip_id,year,treatment,end_year,StartDate,EndDate,Status,age_band,cohort_2022,race,gender,census_tract,participated_tip,graduated_tip,employed_full_year,employed_partial_year,earnings_full_year,offense_count_year,offended_year,has_offense_by_year,has_offense_prior_to_year
1416,2017,0,2022,2021-08-23,2022-03-11 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,0,0,0.0,0,0,0,0
1416,2018,0,2022,2021-08-23,2022-03-11 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,0,1,1163.025221934804,0,0,0,0
1416,2019,0,2022,2021-08-23,2022-03-11 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,0,1,893.5013255820497,0,0,0,0
1416,2020,0,2022,2021-08-23,2022-03-11 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,0,0,0.0,0,0,0,0
1416,2021,0,2022,2021-08-23,2022-03-11 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,0,0,0.0,0,0,0,0
1416,2022,0,2022,2021-08-23,2022-03-11 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,1,1,23295.06768875508,0,0,0,0
1416,2023,0,2022,2021-08-23,2022-03-11 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,0,1,19831.00811186321,0,0,0,0
1416,2024,0,2022,2021-08-23,2022-03-11 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,0,0,0.0,0,0,0,0
963,2017,1,2019,2019-04-15,2019-06-28 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,0,1,1495.8927001022212,0,0,0,0
963,2018,1,2019,2019-04-15,2019-06-28 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,0,1,1475.1330132957196,0,0,0,0
963,2019,1,2019,2019-04-15,2019-06-28 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,0,1,6937.2939402093,0,0,0,0
963,2020,1,2019,2019-04-15,2019-06-28 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,1,1,9095.361844299046,0,0,0,0
963,2021,1,2019,2019-04-15,2019-06-28 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,0,0,0.0,0,0,0,0
963,2022,1,2019,2019-04-15,2019-06-28 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,0,1,2591.534228711028,0,0,0,0
963,2023,1,2019,2019-04-15,2019-06-28 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,1,1,21126.107300353484,0,0,0,0
963,2024,1,2019,2019-04-15,2019-06-28 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,0,1,13683.063319958554,0,0,0,0
1427,2017,0,2021,2021-09-20,2021-10-01 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,0,0,0.0,0,0,0,0
1427,2018,0,2021,2021-09-20,2021-10-01 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,0,1,1396.657220160118,0,0,0,0
1427,2019,0,2021,2021-09-20,2021-10-01 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,1,1,4931.72692893046,0,0,0,0
1427,2020,0,2021,2021-09-20,2021-10-01 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,1,1,9292.17347551961,0,0,0,0
1427,2021,0,2021,2021-09-20,2021-10-01 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,1,1,9390.109737244195,0,0,0,0
1427,2022,0,2021,2021-09-20,2021-10-01 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,1,1,21236.18282717522,0,0,0,0
1427,2023,0,2021,2021-09-20,2021-10-01 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,1,1,31974.691831357726,0,0,0,0
1427,2024,0,2021,2021-09-20,2021-10-01 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,0,1,22449.219814043812,0,0,0,0
1032,2017,1,2019,2019-07-22,2019-10-04 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,1,1,14551.479423598945,0,0,0,0
1032,2018,1,2019,2019-07-22,2019-10-04 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,0,1,7707.99877895833,0,0,0,0
1032,2019,1,2019,2019-07-22,2019-10-04 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,0,1,2214.309084900984,0,0,0,0
1032,2020,1,2019,2019-07-22,2019-10-04 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,0,0,0.0,0,0,0,0
1032,2021,1,2019,2019-07-22,2019-10-04 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,0,0,0.0,0,0,0,0
1032,2022,1,2019,2019-07-22,2019-10-04 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,0,0,0.0,0,0,0,0
1032,2023,1,2019,2019-07-22,2019-10-04 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,0,1,122.54524590377706,0,0,0,0
1032,2024,1,2019,2019-07-22,2019-10-04 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,0,0,0.0,0,0,0,0
